sample,kernel_variant,n_rows,reconstructed_gobs_rmse,reconstructed_gobs_r2,gobs_rmse,gobs_r2,gobs_rmse_difference,gobs_r2_difference,gobs_metrics_exact
Q1,abs_leave_one_out,1859,0.14783512916971434,0.9041344034665773,0.1478351291697143,0.9041344034665773,2.7755575615628914e-17,0.0,True
Q1,abs_self_dlnr,1859,0.14567851886909627,0.9069109660335049,0.1456785188690962,0.9069109660335049,8.326672684688674e-17,0.0,True
Q1,current_abs_self_uniform,1859,0.14544073368791977,0.9072146089835698,0.1454407336879197,0.90721460898357,5.551115123125783e-17,-2.220446049250313e-16,True
Q1,signed_self_uniform,1859,0.14528949670983696,0.9074074749830852,0.1452894967098369,0.9074074749830852,5.551115123125783e-17,0.0,True
Q12,abs_leave_one_out,2805,0.16369499624224307,0.9031689435313626,0.163694996242243,0.9031689435313628,5.551115123125783e-17,-2.220446049250313e-16,True
Q12,abs_self_dlnr,2805,0.1616972870323376,0.9055179455112186,0.1616972870323376,0.9055179455112186,0.0,0.0,True
Q12,current_abs_self_uniform,2805,0.16187488965569036,0.905310279984236,0.1618748896556903,0.905310279984236,5.551115123125783e-17,0.0,True
Q12,signed_self_uniform,2805,0.1618625181988682,0.9053247529518536,0.1618625181988682,0.9053247529518536,0.0,0.0,True
Q123,abs_leave_one_out,2896,0.17463902414574906,0.8930032690637418,0.174639024145749,0.8930032690637418,5.551115123125783e-17,0.0,True
Q123,abs_self_dlnr,2896,0.17246723157447816,0.8956479220879559,0.1724672315744781,0.8956479220879559,5.551115123125783e-17,0.0,True
Q123,current_abs_self_uniform,2896,0.1730754378500547,0.8949106284303935,0.1730754378500546,0.8949106284303935,8.326672684688674e-17,0.0,True
Q123,signed_self_uniform,2896,0.1729179542489207,0.8951017858056702,0.1729179542489206,0.8951017858056702,1.1102230246251565e-16,0.0,True
